to go against, 거역/거스르다 - 逆らう
reflection, 반성하다 - 反省する
to leave alone, 내버려두다 - 放っておく
nursing, 간병 - 介護
to inherit, 이어받다/상속 - 継ぐ
pregnancy, 임신 - 妊娠
baby birth, 출산하다 - 出産
friend - 友人
good friend, 친한 친구 - 親友
to blessed with, 풍족하다/혜택받다 - 恵まれる
to depend, 의지하다 - 頼る
dependable, 의지할 수 있는 - 頼もしい
consultation, 상담 - 相談
existence, being, 존재 - 存在
to emulate, 본받다 - 見習う
to confess, 비밀/고민등을 털어놓다 - 打ち明ける
to encourage, 격려하다 - 励ます
secret, 비밀 - 秘密
exam, 시험 - 試験
venture to, daringly, 굳이, 감히 - 敢えて
severe, strict, 엄격한, 엄한 - 厳しい
advice, 충고 - 忠告
to console, 위로하다 - 慰める
to sense, to sympathize, 헤아리다, 살피다 - 察する
organizer, 간사 - 幹事
to liven up, to surge, 들썩이다, (소리,흥 따위가) 높아지다 - 盛り上がる
